,prog,ml,ir,stat,db,gender,choco
0,7.0,0,0,1,0,0,2.0
1,0.0,0,0,-1,1,0,-1.0
2,6.0,1,1,0,1,0,2.0
3,6.0,1,1,1,1,0,-1.0
4,0.0,0,0,0,1,0,-1.0
5,-1.0,0,0,1,0,0,0.0
6,0.0,1,1,1,0,0,2.0
7,3.0,0,0,1,1,0,0.0
8,4.0,0,0,1,0,0,2.0
9,2.0,1,1,-1,1,0,1.0
10,4.0,0,0,1,0,1,-1.0
11,0.0,0,0,1,1,1,1.0
12,-1.0,1,0,1,0,1,0.0
13,1.0,1,1,0,1,0,-1.0
14,4.0,1,0,1,0,0,-1.0
15,2.0,0,0,1,0,1,0.0
16,6.0,1,1,1,1,1,-1.0
17,6.0,1,1,1,1,0,0.0
18,1.0,1,1,1,1,1,0.0
19,0.0,0,0,1,1,0,2.0
20,3.0,0,0,1,0,0,-1.0
21,0.0,1,0,1,1,0,-1.0
22,1.0,1,1,1,0,0,-1.0
23,1.0,0,0,1,0,1,-1.0
24,3.0,0,0,1,0,1,2.0
25,0.0,0,0,1,1,0,0.0
26,6.0,1,1,1,0,0,1.0
27,6.0,1,1,1,0,1,0.0
28,1.0,1,1,1,1,0,0.0
29,4.0,0,0,1,0,1,0.0
30,3.0,0,0,1,1,0,0.0
31,6.0,1,1,1,1,0,-1.0
32,6.0,1,1,1,1,1,-1.0
33,1.0,1,1,1,1,1,-1.0
34,-1.0,0,0,1,0,0,2.0
35,0.0,1,1,1,1,0,2.0
36,6.0,1,1,1,1,0,0.0
37,1.0,0,1,1,1,1,0.0
38,1.0,1,1,1,1,0,-1.0
39,1.0,1,1,1,0,1,2.0
40,1.0,1,0,1,0,0,-1.0
41,1.0,1,1,1,1,0,-1.0
42,1.0,1,1,1,0,0,-1.0
43,-1.0,1,0,1,1,-1,0.0
44,1.0,1,0,1,0,0,2.0
45,6.0,1,1,1,1,0,-1.0
46,6.0,1,1,1,1,0,0.0
47,6.0,1,1,1,1,1,0.0
48,2.0,1,0,1,0,1,0.0
49,6.0,1,1,1,1,0,0.0
50,-1.0,1,1,1,1,0,0.0
51,6.0,1,1,1,1,0,2.0
52,4.0,0,0,1,0,1,0.0
53,0.0,0,0,1,1,0,2.0
54,1.0,1,0,1,1,0,-1.0
55,4.0,0,0,1,0,0,2.0
56,7.0,0,0,1,0,0,0.0
57,6.0,1,1,1,1,0,1.0
58,7.0,0,0,1,0,0,2.0
59,6.0,1,1,1,1,1,0.0
60,-1.0,1,1,1,1,0,2.0
61,3.0,1,0,1,1,1,0.0
62,6.0,1,1,0,1,-1,0.0
63,6.0,1,1,1,1,0,0.0
64,1.0,0,1,1,1,0,-1.0
65,4.0,0,0,1,0,0,0.0
66,1.0,1,1,1,1,0,0.0
67,2.0,1,1,1,1,0,-1.0
68,1.0,1,0,1,1,1,-1.0
69,4.0,0,0,1,0,0,-1.0
70,1.0,0,1,1,-1,1,-1.0
71,3.0,0,-1,0,0,1,0.0
72,1.0,0,0,0,1,0,-1.0
73,3.0,0,0,1,1,1,1.0
74,6.0,1,0,1,1,1,0.0
75,3.0,0,0,1,0,1,1.0
76,1.0,0,0,0,0,1,2.0
77,1.0,0,0,1,1,0,-1.0
78,1.0,0,0,1,1,1,-1.0
79,4.0,0,1,1,0,0,0.0
80,-1.0,-1,0,1,0,0,2.0
81,6.0,1,1,1,1,0,2.0
82,2.0,0,0,0,1,1,0.0
83,-1.0,0,0,1,0,1,-1.0
84,6.0,1,0,1,0,0,0.0
85,6.0,1,1,1,1,0,-1.0
86,-1.0,0,0,1,1,0,0.0
87,6.0,1,1,1,1,0,0.0
88,7.0,0,0,1,0,0,0.0
89,1.0,1,1,1,1,1,2.0
90,5.0,1,0,1,1,0,0.0
91,2.0,1,0,0,1,1,2.0
92,5.0,0,0,1,0,1,0.0
93,2.0,1,1,1,1,1,2.0
94,-1.0,1,0,1,0,1,0.0
95,6.0,1,1,1,1,0,1.0
96,0.0,0,0,1,1,0,1.0
97,2.0,0,0,1,1,0,1.0
98,4.0,1,1,1,1,0,-1.0
99,0.0,1,0,1,1,0,2.0
100,6.0,1,1,1,1,0,-1.0
101,4.0,0,0,1,0,1,-1.0
102,0.0,0,0,1,1,0,0.0
103,1.0,1,0,1,0,1,-1.0
104,0.0,1,1,1,1,0,0.0
105,3.0,1,1,1,0,0,2.0
106,1.0,1,1,1,0,0,2.0
107,-1.0,1,0,0,0,1,1.0
108,1.0,0,0,1,0,0,2.0
109,0.0,0,0,1,1,0,2.0
110,1.0,0,1,1,1,1,2.0
111,2.0,1,0,1,0,0,0.0
112,4.0,0,0,1,0,0,0.0
